Experiment	bias spectroscopy	
Date	24.03.2019 01:28:40	
User		
X (m)	182.881E-9	
Y (m)	184.967E-9	
Z (m)	-103.416E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	1	
Cutoff frq		
Bias>Bias (V)	1.5E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	1.5E+0	
Bias Spectroscopy>Sweep End (V)	-1.5E+0	
Bias Spectroscopy>Num Pixel	200	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	200E-3	
Bias Spectroscopy>Settling time (s)	10E-3	
Bias Spectroscopy>Integration time (s)	20E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	10E-3	
Bias Spectroscopy>Max Slew rate (V/s)	4E+0	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	5	
Bias Spectroscopy>Channels	Current (A);Bias (V);LIX 1 omega (A);LIY 1 omega (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,83.3333E-6,83.3333E-6,256	
Current>Current (A)	475.203E-12	
Current>Calibration (A/V)	5E-9	
Current>Offset (A)	3.65932E-12	
Current>Gain	Low	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	700E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic	2	
Lock-in>Reference phase (deg)	153.565E+0	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	LIX 1 omega (A)	LIY 1 omega (A)	Current [bwd] (A)	Bias [bwd] (V)	LIX 1 omega [bwd] (A)	LIY 1 omega [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	LIX 1 omega (A) [filt]	LIY 1 omega (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	LIX 1 omega (A) [bwd] [filt]	LIY 1 omega (A) [bwd] [filt]
836.683E-3	48.9004E-12	836.683E-3	4.97036E-12	1.83294E-12	40.2642E-12	836.683E-3	5.02284E-12	1.50361E-12	48.7643E-12	836.683E-3	4.96043E-12	1.79445E-12	40.5493E-12	836.683E-3	4.98917E-12	1.50551E-12
821.608E-3	45.5824E-12	821.608E-3	4.93197E-12	1.58266E-12	38.2473E-12	821.608E-3	5.05954E-12	1.51039E-12	45.7679E-12	821.608E-3	4.95357E-12	1.63353E-12	38.1794E-12	821.608E-3	5.05322E-12	1.44412E-12
806.533E-3	43.1394E-12	806.533E-3	4.99547E-12	1.57239E-12	35.9098E-12	806.533E-3	5.06642E-12	1.20449E-12	42.8270E-12	806.533E-3	4.95240E-12	1.56103E-12	35.8317E-12	806.533E-3	5.04597E-12	1.25522E-12
791.457E-3	39.2223E-12	791.457E-3	4.85574E-12	1.50852E-12	33.2037E-12	791.457E-3	4.97681E-12	1.13795E-12	39.5505E-12	791.457E-3	4.90322E-12	1.46382E-12	33.1932E-12	791.457E-3	4.97422E-12	1.15651E-12
776.382E-3	36.8540E-12	776.382E-3	4.94003E-12	1.23373E-12	30.4478E-12	776.382E-3	4.87500E-12	1.15899E-12	36.6349E-12	776.382E-3	4.93647E-12	1.31088E-12	30.6860E-12	776.382E-3	4.93499E-12	1.12654E-12
761.307E-3	33.4518E-12	761.307E-3	5.00753E-12	1.32298E-12	28.8156E-12	761.307E-3	5.05623E-12	1.02693E-12	33.8240E-12	761.307E-3	4.97561E-12	1.25644E-12	28.6098E-12	761.307E-3	5.00781E-12	1.03784E-12
746.231E-3	31.8059E-12	746.231E-3	4.92443E-12	1.09828E-12	26.2125E-12	746.231E-3	5.00901E-12	946.338E-15	31.6608E-12	746.231E-3	4.94466E-12	1.11184E-12	26.4358E-12	746.231E-3	5.00643E-12	945.754E-15
731.156E-3	29.4754E-12	731.156E-3	4.93677E-12	937.587E-15	24.6628E-12	731.156E-3	4.94963E-12	862.995E-15	29.4775E-12	731.156E-3	4.92308E-12	977.648E-15	24.6225E-12	731.156E-3	4.94351E-12	876.592E-15
716.080E-3	27.1548E-12	716.080E-3	4.88454E-12	965.919E-15	22.9228E-12	716.080E-3	4.86138E-12	843.804E-15	27.2563E-12	716.080E-3	4.89180E-12	943.708E-15	22.8594E-12	716.080E-3	4.89418E-12	841.328E-15
701.005E-3	25.3131E-12	701.005E-3	4.86656E-12	889.455E-15	20.8837E-12	701.005E-3	4.92790E-12	812.929E-15	25.2218E-12	701.005E-3	4.89370E-12	884.748E-15	20.9316E-12	701.005E-3	4.93710E-12	794.275E-15
